,review_text,review_date,review_title,review_stars,product_category,svc,logistic,naive,Result
0,"I recently purchased the capsule umbrella and  must say That compact design is  attracted  me.  The umbrella easily collapses into a small capsule that fits perfectly in my bag or even my pocket.and The materials used are of high quality, and I have not experienced any issues with leakage or breakage so far.it did not disappoint me.",Reviewed in India 🇮🇳 on 12 June 2023,"5.0 out of 5 stars
Highly satisfied",5.0 out of 5 stars,b,OR,OR,OR,OR
1,"It's a creative and entertaining method for me to organise my keys. The holder features a stylish black finish and is composed of durable metal.""I adore this key holder with an umbrella design! The key holder's numerous hooks make it simple to keep all of my keys in one location. Overall, I'm extremely pleased with my purchase and would advise anybody seeking for an attractive and practical solution to organise their keys to buy this key holder.",Reviewed in India 🇮🇳 on 8 June 2023,"5.0 out of 5 stars
practical solution to organise keys",5.0 out of 5 stars,b,OR,OR,OR,OR
2,The keychain is so attractive that it made my room look so beautiful and attractive.,Reviewed in India 🇮🇳 on 7 June 2023,"4.0 out of 5 stars
Beautiful Attractive product",4.0 out of 5 stars,b,OR,OR,OR,OR
3,The umbrella key holder is really attractive and fancy. Better quality and well designed,Reviewed in India 🇮🇳 on 8 June 2023,"4.0 out of 5 stars
Amazing Key holder",4.0 out of 5 stars,b,OR,OR,OR,OR
4,"The small mini umbrella is a great travel accessory. Its compact size and lightweight design make it easy to carry, and it provides adequate protection from light to moderate rain. Its push-button mechanism and sturdy construction make it convenient and reliable. Overall, it's an excellent choice for on-the-go rain protection.",Reviewed in India 🇮🇳 on 12 June 2023,"5.0 out of 5 stars
Good 😊",5.0 out of 5 stars,b,OR,OR,OR,OR
5,"I really liked the umbrella quality, it's very handy and can be carried easily in very small space.A very unique design as a capsule which makes it more attractive.The functioning is smooth, it is easy to open and close",Reviewed in India 🇮🇳 on 13 June 2023,"5.0 out of 5 stars
Best umbrella!!",5.0 out of 5 stars,b,OR,OR,OR,OR
6,"that is a good quality product. it can be easily foldable with reduced weight and is easy to travel with. Also, I like this product carrying Cute Capsule Case. this mini umbrella is of good quality and well-designed.",Reviewed in India 🇮🇳 on 13 June 2023,"5.0 out of 5 stars
Amazing Mini Umbrella",5.0 out of 5 stars,b,OR,OR,OR,OR
7,"""Love this umbrella style key holder! It's a fun and unique way to keep my keys organized. The holder is made of sturdy metal and has a sleek black finish. It's easy to install and comes with all the necessary hardware. The holder has multiple hooks, making it easy to store all my keys in one place. Overall, I'm very happy with my purchase and would recommend this key holder to anyone looking for a functional and stylish way to keep their keys organized.""",Reviewed in India 🇮🇳 on 31 May 2023,"5.0 out of 5 stars
Amazing product",5.0 out of 5 stars,b,OR,OR,OR,OR
8,I bought it by seeing it's size and quality.Must say it stays as it promised.Very compact easy to store in my bag and to carry.Capsule disign make it look cool and attracts people attentions.,Reviewed in India 🇮🇳 on 12 June 2023,"5.0 out of 5 stars
Compact umbrella",5.0 out of 5 stars,b,OR,OR,OR,OR
9,I like it . It's colour is my favourite colour. Mini umbrella are cute and look good. It can be carried in pocket.value for money. everyone should buy this great product.it can be used for hanging key.nice keychains.,Reviewed in India 🇮🇳 on 7 June 2023,"5.0 out of 5 stars
Good product.",5.0 out of 5 stars,b,OR,OR,OR,OR
