,review_text,review_date,review_title,review_stars,product_category,svc,logistic,naive,random,decision,Result
0,Value for money,Reviewed in India 🇮🇳 on 4 June 2023,"4.0 out of 5 stars
The product is good",4.0 out of 5 stars,b,OR,OR,CG,OR,OR,OR
1,It's very light to handle and good to use.,Reviewed in India 🇮🇳 on 27 May 2023,"4.0 out of 5 stars
Very good",4.0 out of 5 stars,b,CG,CG,CG,CG,OR,CG
2,"The small mini umbrella I used was a great travel accessory. Its compact size and lightweight design made it easy to carry in my bag without taking up too much space or adding extra weight. Despite its small size, it was able to keep me dry during light to moderate rainfall.The umbrella was easy to open and close, with a simple push-button mechanism that made it convenient to use even in a hurry. It was also sturdy enough to withstand moderate wind gusts without turning inside out, which is impressive considering its small size.Overall, I would highly recommend this mini umbrella for anyone looking for a compact and convenient travel umbrella. Its portability, durability, and ease of use make it an excellent choice for on-the-go rain protection.",Reviewed in India 🇮🇳 on 2 May 2023,"5.0 out of 5 stars
Convenient and Reliable",5.0 out of 5 stars,b,OR,OR,OR,OR,OR,OR
3,It's very compatible for regular purpose so satisfied with this product thank u for selling these quality products,Reviewed in India 🇮🇳 on 4 June 2023,"5.0 out of 5 stars
Verysmall but so much usefull",5.0 out of 5 stars,b,OR,OR,OR,OR,OR,OR
4,"The small mini umbrella is a great travel accessory. Its compact size and lightweight design make it easy to carry, and it provides adequate protection from light to moderate rain. Its push-button mechanism and sturdy construction make it convenient and reliable. Overall, it's an excellent choice for on-the-go rain protection.",Reviewed in India 🇮🇳 on 17 May 2023,"5.0 out of 5 stars
Worth to buy",5.0 out of 5 stars,b,OR,OR,OR,OR,OR,OR
5,"It's the month of May, damour for summer season, but it's raining after every 1-2 days, and in this price range this umbrella is just superb, it would have been more good if the size would have little more",Reviewed in India 🇮🇳 on 6 May 2023,"5.0 out of 5 stars
Nice Product",5.0 out of 5 stars,b,OR,OR,OR,OR,OR,OR
6,Great Quality umbrellaWorth it,Reviewed in India 🇮🇳 on 20 May 2023,"5.0 out of 5 stars
Good quality",5.0 out of 5 stars,b,CG,CG,CG,CG,CG,CG
7,"the light weight is easy to carry, pink colour umbrella is fit for my girlfriend, it can easily cover me in rain with my bag on my back. this umbrella at this prize is of good quality, over all worth of money. loving it.",Reviewed in India 🇮🇳 on 26 April 2023,"5.0 out of 5 stars
good quality",5.0 out of 5 stars,b,OR,OR,OR,OR,CG,OR
8,This is really good and quality is nice. such a nice quality in reasonable price. Absolutely must buy.,Reviewed in India 🇮🇳 on 15 May 2023,"5.0 out of 5 stars
A must buy product",5.0 out of 5 stars,b,CG,CG,CG,CG,OR,CG
9,I like it. I used sun and rain,Reviewed in India 🇮🇳 on 11 May 2023,"5.0 out of 5 stars
Good",5.0 out of 5 stars,b,OR,OR,OR,OR,OR,OR
10,Umbrella = Just awesome for normal use.,Reviewed in India on 15 May 2023,"5.0 out of 5 stars
Awesome",5.0 out of 5 stars,b,OR,OR,OR,OR,OR,OR
11,This product is good in quality and quiet reasonable. Comfortable to use. Overall a worthy purchase.,Reviewed in India on 16 May 2023,"5.0 out of 5 stars
A good quality product",5.0 out of 5 stars,b,CG,CG,CG,CG,CG,CG
12,"Price range is pretty amazing,Material is also good,Best for kids I think",Reviewed in India on 6 May 2023,"5.0 out of 5 stars
Osum",5.0 out of 5 stars,b,CG,CG,CG,CG,CG,CG
13,Small size very beautiful umbrella. Easy to carry and very useful for traveling. Fully water proof,Reviewed in India on 6 May 2023,"5.0 out of 5 stars
Easy to carry and small size",5.0 out of 5 stars,b,OR,OR,OR,CG,CG,OR
14,"It's Small foldable umbrella,and fits perfectly in our hand baggg...you can see it comes in a capsule,love the colour and affordable to buy,so grab it ladies :)",Reviewed in India on 27 April 2023,"5.0 out of 5 stars
Worth d price",5.0 out of 5 stars,b,OR,OR,OR,OR,OR,OR
15,Convenient to carry anywhere,Reviewed in India on 12 May 2023,"5.0 out of 5 stars
Very good",5.0 out of 5 stars,b,OR,OR,OR,OR,OR,OR
16,It's been around 15 days using it. And the meterial quality of of this beautiful umbrella is literally good. Easy to carry and easy to use even in summer season.,Reviewed in India on 25 April 2023,"5.0 out of 5 stars
Good for my child.",5.0 out of 5 stars,b,OR,OR,OR,OR,OR,OR
17,Good product. Easy to carry in handbags,Reviewed in India on 7 May 2023,"5.0 out of 5 stars
Compact size",5.0 out of 5 stars,b,OR,OR,CG,OR,CG,OR
18,"pros- compact capsule size, ultra light product, easily goes in my daughter's school bag, light but still its durable productcons- haven't found any yetrecommneded to all",Reviewed in India on 25 April 2023,"5.0 out of 5 stars
recommended",5.0 out of 5 stars,b,OR,OR,OR,OR,OR,OR
19,"Quality of this Product in this price range is incomparable, i searched for many similar product and found this in my budget range so bought it really happy to buy",Reviewed in India on 23 April 2023,"5.0 out of 5 stars
Quality is good",5.0 out of 5 stars,b,OR,OR,CG,CG,CG,CG
20,As the monsoon is coming so this product is very useful and must buy.. Helpful in case of sudden rain takes very less space in wallet and the coat quality is good,Reviewed in India on 23 April 2023,"5.0 out of 5 stars
Easy to carry",5.0 out of 5 stars,b,OR,OR,OR,OR,OR,OR
21,Really great quality umbrella. Easy to carry anywhere and also light in weight. Good protector from sun & rain. Liked this small and portable umbrella. Durable product at a very reasonable price Highly recommended!!,Reviewed in India on 21 April 2023,"5.0 out of 5 stars
Good Quality",5.0 out of 5 stars,b,CG,CG,CG,CG,CG,CG
22,"Cutie mini umbrella, I can easily carry in my bag.",Reviewed in India on 4 May 2023,"5.0 out of 5 stars
Quality",5.0 out of 5 stars,b,OR,OR,OR,OR,OR,OR
23,This mini rain coat is highly portable. It can fit in any wallet so i can carry it all time with me and i dont have to worry for rain. Quality is good too for the price paid.,Reviewed in India on 20 April 2023,"5.0 out of 5 stars
Easy to carry",5.0 out of 5 stars,b,OR,OR,OR,OR,CG,OR
24,I bought this umbrella cover for walking in sun it didn't disppoint me with value of money product and especially kids Love it.An happy buyer..:-),Reviewed in India on 21 April 2023,"5.0 out of 5 stars
Best Mini Umbrella case for all purpose",5.0 out of 5 stars,b,OR,OR,OR,OR,OR,OR
25,SMALL & PORTABLE UMBRELLA WINDPROOF,Reviewed in India on 6 May 2023,"5.0 out of 5 stars
Portable",5.0 out of 5 stars,b,CG,CG,CG,CG,OR,CG
26,Such a small and use full umbrella as my place recieve unpredictable I can carry this umbrella easily,Reviewed in India on 25 April 2023,"5.0 out of 5 stars
Very portable",5.0 out of 5 stars,b,OR,OR,OR,OR,OR,OR
27,This is good quality raincoat and works really fine for the price and space it takes. You can carry it in wallet.,Reviewed in India on 23 April 2023,"5.0 out of 5 stars
One time use Coat",5.0 out of 5 stars,b,OR,OR,CG,OR,OR,OR
28,The umbrellas design is too good and build quality is also great ...the fabric is so good...i liked the product value for money,Reviewed in India on 22 April 2023,"5.0 out of 5 stars
Nice design",5.0 out of 5 stars,b,CG,CG,CG,CG,CG,CG
29,The product is good for rainy season and it is very small we can carry it in the wallet easily,Reviewed in India on 23 April 2023,"5.0 out of 5 stars
Nice product",5.0 out of 5 stars,b,OR,OR,CG,OR,CG,OR
30,Saviour product and it can help you anywhere.Not to big to carry.One the best emergency kit.Go for it.,Reviewed in India 🇮🇳 on 21 April 2023,Easy to use,5.0 out of 5 stars,b,CG,CG,CG,CG,OR,CG
31,With Belagavi unpredictable rains this pocket size foldable umbrella comes very handy... Light weight easily fits anywhere and made of nice durable quality. Nice innovative product.,Reviewed in India 🇮🇳 on 18 April 2023,Compact,5.0 out of 5 stars,b,OR,OR,OR,OR,OR,OR
32,Very nice product. You will get cute handy umbrella.. The quality is awesome. Value for money..,Reviewed in India 🇮🇳 on 21 April 2023,Wonderful,5.0 out of 5 stars,b,OR,OR,OR,OR,OR,OR
33,Easy to use and helpful for emergencyAlso takes less space to store,Reviewed in India 🇮🇳 on 23 April 2023,Good quality product,5.0 out of 5 stars,b,OR,OR,OR,CG,OR,OR
34,It's a very durable and good product. I recommend all to purchase it.,Reviewed in India 🇮🇳 on 24 April 2023,Amazing product,5.0 out of 5 stars,b,OR,OR,CG,OR,CG,OR
35,Good quality productMade up of good materialsValue for money,Reviewed in India 🇮🇳 on 22 April 2023,Good quality product,5.0 out of 5 stars,b,CG,CG,CG,OR,CG,CG
36,It is very handy and appropriate size for kids. Very useful and easy to carry.,Reviewed in India 🇮🇳 on 20 April 2023,Portable and handy!,5.0 out of 5 stars,b,OR,OR,OR,OR,OR,OR
37,"It looks amazing in fold, enough for one person liked its packaging style",Reviewed in India 🇮🇳 on 19 April 2023,Amazing,5.0 out of 5 stars,b,OR,OR,OR,OR,OR,OR
38,Material quality is good and their compactness is awesome it fits in my bag very easily,Reviewed in India 🇮🇳 on 18 April 2023,Awesome Product,5.0 out of 5 stars,b,CG,OR,CG,CG,CG,CG
39,"Best portable umbrella, quality is ok ,nice umbrella",Reviewed in India 🇮🇳 on 22 April 2023,Portable mini umbrella,5.0 out of 5 stars,b,OR,OR,OR,OR,OR,OR
