,review_text,review_date,review_title,review_stars,product_category
0,Over view okay not damage any comments but before the code upload and after not responding don't working programme and after some time error in the Arduino Uno,Reviewed in India 🇮🇳 on 2 June 2023,"3.0 out of 5 stars
Over view okay",3.0 out of 5 stars,Industrial and Scientific
1,"I'm not sure if this is an original Arduino or not. However, it still works perfectly with the ide.",Reviewed in India 🇮🇳 on 9 June 2023,"5.0 out of 5 stars
Excellent 👍",5.0 out of 5 stars,Industrial and Scientific
2,I got this product and i was very happy until i tested it it was not working good at all until for first few mins i made a car which uses Arduino it was operating on its own i didn't like it,Reviewed in India 🇮🇳 on 25 May 2023,"2.0 out of 5 stars
Totally fine only for 1 hour",2.0 out of 5 stars,Industrial and Scientific
3,It's working well,Reviewed in India 🇮🇳 on 21 April 2023,"5.0 out of 5 stars
Good product",5.0 out of 5 stars,Industrial and Scientific
4,"It was my first Arduino board(s) i bought to of them . In the Arduino hub you may find many codes to do projects . When we have done coding and we can compile , where it tells us if there is any mistake in coding as error message . No error message you can upload it within 5 sec.",Reviewed in India 🇮🇳 on 5 February 2023,"5.0 out of 5 stars
YOU CAN BLINDLY GO FOR IT",5.0 out of 5 stars,Industrial and Scientific
5,we need to install any additional drivers or softwares.. please mention that in the description,Reviewed in India 🇮🇳 on 20 October 2022,"4.0 out of 5 stars
Good one",4.0 out of 5 stars,Industrial and Scientific
6,"Product was working for few projects only and all projects. I doubt that was some serial communication problem. Also the size was smaller. Returned the product within few days. Not worthy, don't buy this product.",Reviewed in India 🇮🇳 on 23 April 2023,"1.0 out of 5 stars
Not worthy, don't buy this product",1.0 out of 5 stars,Industrial and Scientific
7,Working perfectly,Reviewed in India 🇮🇳 on 18 January 2023,"5.0 out of 5 stars
Nice Product",5.0 out of 5 stars,Industrial and Scientific
8,"Nice product, good for beginners",Reviewed in India 🇮🇳 on 25 May 2022,"4.0 out of 5 stars
Nice one in budget",4.0 out of 5 stars,Industrial and Scientific
9,Absolutely waste product.The programme is not getting deleted,Reviewed in India 🇮🇳 on 4 May 2023,"1.0 out of 5 stars
Awful",1.0 out of 5 stars,Industrial and Scientific
10,"Guys beware, I know that all the Arduino boards out there on Amazon which are available for around 500₹ are clones of the original Arduino Uno board by arduino.ccBut this board is not even an exact clone, it doesn't even matched the original dimensions standards, this is a bit smaller than the normal boards (although it doesn't affects the functionality of the board) but still, for the money you're paying you should get at least an exact one, moreover the printing on the board is also a bit shabby, overall you can look at the board and say that the build quality doesn't matches the usual norms..!!",Reviewed in India 🇮🇳 on 9 September 2020,"3.0 out of 5 stars
A poor clone of the original Arduino Uno",3.0 out of 5 stars,Industrial and Scientific
